trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20140102,12.23,0.8786,7.4801,1.0563,2.5222,0.8688,10025372.09
20140103,11.93,0.9884,7.2966,1.0304,2.4603,0.8906,9779451.273
20140106,11.67,1.044,7.1376,1.0079,2.4067,0.9105,9566319.896
20140107,11.63,0.6069,7.1131,1.0044,2.3985,0.9136,9533530.453
20140108,11.76,0.821,7.1927,1.0157,2.4253,0.9035,9640096.142
20140109,11.82,0.8707,8.3965,1.0263,2.8312,0.774,11253521.37
20140110,11.82,0.6837,8.3965,1.0263,2.8312,0.774,11253521.37
20140113,11.6,0.8588,8.2402,1.0072,2.7785,0.7886,11044064.96
20140114,11.72,0.65,8.3254,1.0177,2.8072,0.7806,11158313.91
20140115,11.67,0.5344,8.2899,1.0133,2.7952,0.7839,11110710.18
20140116,11.69,0.5373,8.3041,1.0151,2.8,0.7826,11129751.67
20140117,11.48,0.7595,8.1549,0.9968,2.7497,0.7969,10929816.01
20140120,11.3,0.551,8.0271,0.9812,2.7066,0.8096,10758442.59
20140121,11.36,0.4767,8.0697,0.9864,2.721,0.8053,10815567.07
20140122,11.79,1.1103,8.3751,1.0237,2.824,0.7759,11224959.13
20140123,11.7,0.6735,8.3112,1.0159,2.8024,0.7819,11139272.42
20140124,11.66,0.8703,8.2828,1.0125,2.7928,0.7846,11101189.43
20140127,11.39,0.7945,8.091,0.989,2.7282,0.8032,10844129.3
20140128,11.5,0.6989,8.1691,0.9986,2.7545,0.7955,10948857.5
20140129,11.56,0.5597,8.2118,1.0038,2.7689,0.7914,11005981.98
20140130,11.4,0.5226,8.0981,0.9899,2.7306,0.8025,10853650.05
20140207,11.38,0.751,8.0839,0.9881,2.7258,0.8039,10834608.56
20140210,11.57,1.0424,8.2189,1.0046,2.7713,0.7907,11015502.72
20140211,12,2.3502,8.5243,1.042,2.8743,0.7623,11424894.79
20140212,11.94,1.2458,8.4817,1.0368,2.8599,0.7662,11367770.31
20140213,12.22,2.1847,8.6806,1.0611,2.927,0.7486,11634351.19
20140214,12.08,1.0444,8.5812,1.0489,2.8934,0.7573,11501060.75
20140217,11.97,1.0921,8.503,1.0394,2.8671,0.7643,11396332.55
20140218,11.66,1.069,8.2828,1.0125,2.7928,0.7846,11101189.43
